Project Name,Carbon Reduction (tons),Social Impact Score,Cost (USD),ROI (%),Region
Solar Farm,46,7,294373,12.4,Africa
Wind Power Plant,43,9,170792,7.63,Europe
Urban Tree Plantation,40,8,256255,8.68,Africa
Urban Tree Plantation,96,7,373203,5.96,Oceania
Wind Power Plant,90,7,479382,9.96,Europe
Wind Power Plant,60,7,166330,6.75,Europe
Biofuel Facility,39,7,492352,7.2,Oceania
Urban Tree Plantation,69,10,250688,10.83,Asia
Urban Tree Plantation,67,8,157550,13.13,Asia
Urban Tree Plantation,35,8,426000,12.54,Oceania
Biofuel Facility,79,10,433999,10.52,Oceania
Reforestation Initiative,38,8,118476,9.11,Africa
Wind Power Plant,86,8,288893,5.13,North America
Urban Tree Plantation,57,10,437439,12.65,North America
Wind Power Plant,65,9,346831,11.5,Asia
Solar Farm,98,9,87118,10.28,Europe
Wind Power Plant,45,9,64227,12.32,Africa
Biofuel Facility,37,7,168851,11.76,Africa
Solar Farm,67,9,231493,13.78,North America
Urban Tree Plantation,80,7,177340,10.97,Asia
